RJ Shastri,India,11,150,136,6613,4650,129,5/15,36.04,4.21,51.2,2,1
JE Taylor,West Indies,14,90,88,4341,3780,128,5/48,29.53,5.22,33.9,3,1
DK Morrison,New Zealand,9,96,95,4586,3470,126,5/34,27.53,4.53,36.3,1,2
Rubel Hossain,Bangladesh,10,101,99,4540,4300,126,6/26,34.12,5.68,36.0,7,1
Mohammad Rafique,Bangladesh,12,125,124,6414,4739,125,5/47,37.91,4.43,51.3,3,1
KAJ Roach,West Indies,11,92,90,4459,3763,124,6/27,30.34,5.06,35.9,3,3
Azhar Mahmood,Pakisthan,11,143,139,6242,4813,123,6/18,39.13,4.62,50.7,2,3
Mohammad Sami,Pakisthan,14,87,85,4284,3567,121,5/10,29.47,4.99,35.4,3,1
AG Cremer,Zimbabwe,9,96,95,4680,3597,119,6/46,30.22,4.61,39.3,4,3
IR Bishop,West Indies,9,84,83,4332,3127,118,5/25,26.5,4.33,36.7,7,2
IVA Richards,West Indies,16,187,131,5644,4228,118,6/41,35.83,4.49,47.8,1,2
K Rabada,South Africa,4,75,73,3842,3199,117,6/16,27.34,4.99,32.8,6,1
R Rampaul,West Indies,12,92,88,4033,3434,117,5/49,29.35,5.1,34.4,8,2
Dawlat Zadran,Afganisthan,8,82,80,3769,3423,115,4/22,29.76,5.44,32.7,3,0
PAJ DeFreitas,England,10,103,103,5712,3775,115,4/35,32.82,3.96,49.6,1,0
AD Mathews,Sri Lanka,11,214,155,5083,3907,115,6/20,33.97,4.61,44.2,1,1
I Sharma,India,9,80,78,3733,3563,115,4/34,30.98,5.72,32.4,6,0
Wahab Riaz,Pakisthan,11,89,88,4209,4011,115,5/46,34.87,5.71,36.6,4,1
WJ Cronje,South Africa,8,188,153,5357,3966,114,5/32,34.78,4.44,46.9,1,1
MC Snedden,New Zealand,10,93,90,4525,3237,114,4/34,28.39,4.29,39.6,1,0
GR Larsen,New Zealand,9,121,119,6368,4000,113,4/24,35.39,3.76,56.3,1,0
KJ O'Brien,Ireland,13,142,113,4224,3672,113,4/13,32.49,5.21,37.3,5,0
PD Collingwood,England,10,197,151,5186,4294,111,6/31,38.68,4.96,46.7,3,1
Mudassar Nazar,Pakisthan,12,122,104,4855,3432,111,5/28,30.91,4.24,43.7,1,1
Yuvraj Singh,India,17,304,161,5048,4294,111,5/31,38.68,5.1,45.4,2,1
Junaid Khan,Pakisthan,8,76,76,3601,3216,110,4/12,29.23,5.35,32.7,4,0
Naved-ul-Hasan,Pakisthan,7,74,72,3466,3221,110,6/27,29.28,5.57,31.5,6,1
DR Tuffey,New Zealand,10,94,92,4333,3534,110,4/24,32.12,4.89,39.3,2,0
TT Bresnan,England,9,85,84,4221,3813,109,5/48,34.98,5.42,38.7,3,1
GP Wickramasinghe,Sri Lanka,12,134,132,5720,4321,109,4/48,39.64,4.53,52.4,1,0
SP O'Donnell,Australia,6,87,87,4350,3102,108,5/13,28.72,4.27,40.2,5,1
DNT Zoysa,Sri Lanka,10,95,93,4259,3213,108,5/26,29.75,4.52,39.4,2,1
RAS Lakmal,Sri Lanka,10,85,83,3824,3478,107,4/13,32.5,5.45,35.7,3,0
Mustafizur Rahman,Bangladesh,4,56,55,2813,2458,107,6/43,22.97,5.24,26.2,3,5
PA de Silva,Sri Lanka,19,308,156,5148,4177,106,4/30,39.4,4.86,48.5,2,0
TM Dilshan,Sri Lanka,17,330,204,5880,4778,106,4/4,45.07,4.87,55.4,3,0
A Nel,South Africa,7,79,76,3801,2935,106,5/45,27.68,4.63,35.8,3,1
PR Reiffel,Australia,7,92,92,4732,3096,106,4/13,29.2,3.92,44.6,5,0
UT Yadav,India,8,75,73,3558,3565,106,4/31,33.63,6.01,33.5,4,0
GW Flower,Zimbabwe,18,221,156,5462,4225,104,4/32,40.62,4.64,52.5,2,0
WB Rankin,England,12,73,71,3600,2893,104,4/15,27.81,4.82,34.6,4,0
GP Swann,England,13,79,76,3809,2888,104,5/28,27.76,4.54,36.6,3,1
JJ Bumrah,India,3,58,58,3009,2254,103,5/27,21.88,4.49,29.2,5,1
DK Lillee,Australia,11,63,63,3593,2145,103,5/34,20.82,3.58,34.8,5,1
C Pringle,New Zealand,5,64,64,3314,2459,103,5/45,23.87,4.45,32.1,2,1
ST Finn,England,6,69,67,3550,2996,102,5/33,29.37,5.06,34.8,4,2
E Chigumbura,Zimbabwe,14,213,132,4339,4274,101,4/28,42.31,5.91,42.9,1,0
WKM Benjamin,West Indies,9,85,85,4442,3079,100,5/22,30.79,4.15,44.4,0,1
SC Ganguly,India,15,311,171,4561,3849,100,5/16,38.49,5.06,45.6,1,2
RA Harper,West Indies,13,105,99,5175,3431,100,4/40,34.31,3.97,51.7,3,0
