RR Rossouw,South Africa,2,15,15,9,9,0,0
CJO Smith,SCOT,2,8,7,9,5,4,5
IS Sodhi,New Zealand,5,40,39,9,9,0,0
MC Sorensen,Ireland,4,26,24,9,9,0,0
BA Stokes,England,7,23,22,9,9,0,0
Sultan Ahmed,UAE,2,17,17,9,9,0,0
Suraj Kumar,OMAN,0,13,13,9,7,2,7
JE Taylor,West Indies,12,30,30,9,9,0,0
T van der Gugten,NL,7,39,38,9,9,0,0
DL Vettori,New Zealand,7,34,34,9,9,0,0
CD Wallace,SCOT,7,19,18,9,7,2,6
MN Waller,Zimbabwe,7,32,32,9,9,0,0
D Wiese,South Africa,3,20,20,9,9,0,0
Zaheer Ibrahim,QAT,0,13,13,9,9,0,0
Aizaz Khan,HKG,5,30,30,8,8,0,0
R Ashwin,India,7,46,46,8,8,0,0
S Bau,Papua New Guinea,3,23,23,8,8,0,0
DG Blampied,JER,0,17,17,8,8,0,0
AC Botha,Ireland,2,14,13,8,8,0,0
JW Dernbach,England,3,34,33,8,8,0,0
JN Frylinck,NAM,0,14,14,8,8,0,0
HH Gibbs,South Africa,5,23,23,8,8,0,0
RR Hendricks,South Africa,5,22,22,8,8,0,0
H Klaasen,South Africa,1,9,9,8,8,0,5
MJ Lumb,England,4,27,26,8,8,0,0
BR McDermott,Australia,1,12,11,8,8,0,0
Manpreet Singh,SGP,0,12,12,8,4,4,4
KD Mills,New Zealand,9,42,42,8,8,0,0
DJ Mitchell,New Zealand,0,9,9,8,8,0,0
Mohammad Nadeem,OMAN,4,22,22,8,8,0,0
M Mosehle,South Africa,0,7,7,8,6,2,6
Nouman Sarwar,QAT,0,14,14,8,8,0,0
RT Ponting,Australia,4,17,17,8,8,0,0
Rameez Shahzad,UAE,3,22,22,8,8,0,0
Ravinderpal Singh,CAN,0,12,12,8,8,0,0
KW Richardson,Australia,5,15,15,8,8,0,0
DJM Short,Australia,1,20,19,8,8,0,0
DR Smith,West Indies,9,33,33,8,8,0,0
Sompal Kami,NEPAL,5,28,28,8,8,0,0
MA Starc,Australia,7,28,28,8,8,0,0
SB Styris,New Zealand,5,31,31,8,8,0,0
RML Taylor,SCOT,3,9,9,8,8,0,0
HT Tector,Ireland,0,14,14,8,8,0,0
HDRL Thirimanne,Sri Lanka,4,26,26,8,8,0,0
AJ Tye,Australia,2,26,25,8,8,0,0
N Vanua,Papua New Guinea,4,25,25,8,8,0,0
MH Yardy,England,5,14,14,8,8,0,0
KJ Abbott,South Africa,3,21,21,7,7,0,0
RG Aga,KENYA,5,20,20,7,7,0,0
MM Ali,England,4,25,25,7,7,0,0
Aqib Ilyas,OMAN,4,22,22,7,7,0,0
S Badree,West Indies,6,52,52,7,7,0,0
HS Baidwan,CAN,5,17,17,7,7,0,0
RD Berrington,SCOT,11,61,59,7,7,0,0
Bilal Khan,OMAN,4,32,31,7,7,0,0
RS Bopara,England,6,38,37,7,7,0,0
DAJ Bracewell,New Zealand,8,18,17,7,7,0,0
YS Chahal,India,3,36,36,7,7,0,0
S Chanderpaul,West Indies,4,22,22,7,7,0,0
MS Chapman,New Zealand,4,24,24,7,7,0,0
PJ Cummins,Australia,8,25,25,7,7,0,0
AR Cusack,Ireland,7,37,33,7,7,0,0
Dawlat Zadran,Afganisthan,7,34,34,7,7,0,0
BR Dunk,Australia,3,5,5,7,5,2,4
AC Evans,SCOT,4,27,25,7,7,0,0
Faheem Ashraf,Pakisthan,2,27,27,7,7,0,0
Fawad Alam,Pakisthan,3,24,24,7,7,0,0
Harbhajan Singh,India,10,28,27,7,7,0,0
Hasan Ali,Pakisthan,3,30,30,7,7,0,0
AW Hawkins-Kay,JER,0,16,16,7,7,0,0
JO Holder,West Indies,5,17,17,7,7,0,0
Imran Tahir,South Africa,6,38,38,7,7,0,0
Iqbal Hussain,QAT,0,15,15,7,7,0,0
JH Kallis,South Africa,7,25,25,7,7,0,0
Kuldeep Yadav,India,2,19,19,7,7,0,0
MJ McClenaghan,New Zealand,6,29,29,7,7,0,0
MW Machan,SCOT,3,13,13,7,7,0,0
AD Mascarenhas,England,2,14,14,7,7,0,0
Mehidy Hasan Miraz,Bangladesh,1,13,13,7,7,0,0
BMAJ Mendis,Sri Lanka,7,22,22,7,7,0,0
AK Mohan,Fin,0,5,5,7,5,2,3
PJ Moor,Zimbabwe,3,21,21,7,7,0,2
Mosaddek Hossain,Bangladesh,3,14,14,7,7,0,0
K Motlhanka,Botsw,0,7,7,7,3,4,3
SP Narine,West Indies,7,51,51,7,7,0,0
H Osinde,CAN,5,11,11,7,7,0,0
MK Pandey,India,4,32,32,7,7,0,0
KH Pandya,India,1,18,18,7,7,0,0
LE Plunkett,England,13,22,22,7,7,0,0
N Pooran,West Indies,3,16,16,7,7,0,3
JD Ryder,New Zealand,6,22,22,7,7,0,0
RR Sarwan,West Indies,3,18,18,7,7,0,0
MD Shanaka,Sri Lanka,4,35,35,7,7,0,0
Simi Singh,Ireland,1,18,18,7,7,0,0
Sohail Tanvir,Pakisthan,10,57,57,7,7,0,0
MP Stoinis,Australia,4,19,18,7,7,0,0
MR Swart,NL,4,26,26,7,7,0,0
R Tari,VAN,0,14,14,7,7,0,0
TP Ura,Papua New Guinea,4,23,23,7,7,0,0
Waqas Barkat,HKG,5,22,22,7,7,0,0
MRJ Watt,SCOT,4,35,33,7,7,0,0
KOK Williams,West Indies,3,24,24,7,7,0,0
Yasir Ali,ESP,0,9,9,7,7,0,0
CA Young,Ireland,4,26,25,7,7,0,0
Abdur Rehman,Pakisthan,6,8,8,6,6,0,0
DS Airee,NEPAL,1,18,18,6,6,0,0
PS Airee,NEPAL,4,11,11,6,5,1,3
Anshuman Rath,HKG,2,20,20,6,6,0,0
Awais Ahmed,ESP,0,9,9,6,5,1,5
NW Bracken,Australia,3,19,19,6,6,0,0
JJ Bumrah,India,3,42,42,6,6,0,0
PVD Chameera,Sri Lanka,3,19,19,6,6,0,0
TLW Cooper,NL,4,18,17,6,6,0,0
FA Cossa,Moz,0,6,5,6,6,0,0
AG Cremer,Zimbabwe,10,29,29,6,6,0,0
ST Finn,England,4,21,21,6,6,0,0
JS Foster,England,0,5,5,6,3,3,3
SO Hetmyer,West Indies,1,20,20,6,6,0,0
SD Hope,West Indies,2,13,13,6,6,0,6
GJ Hopkins,New Zealand,3,10,10,6,4,2,2
Imran Ismail,Moz,0,7,6,6,6,0,5
Janak Prakash,SGP,0,12,12,6,6,0,0
Kamran Khan,QAT,0,14,14,6,6,0,0
Karim Sadiq,Afganisthan,8,36,36,6,6,0,0
B Kumar,India,7,43,43,6,6,0,0
ND Laegsgaard,DEN,0,9,7,6,6,0,0
TWM Latham,New Zealand,5,13,13,6,6,0,4
B Lee,Australia,7,25,25,6,6,0,0
AR McBrine,Ireland,3,19,18,6,6,0,0
PK Matautaava,VAN,0,10,10,6,6,0,0
BAW Mendis,Sri Lanka,6,39,39,6,6,0,0
BKG Mendis,Sri Lanka,3,24,24,6,6,0,0
Mohammad Nawaz,Pakisthan,2,16,16,6,6,0,0
CH Morris,South Africa,7,23,23,6,6,0,0
Muhammad Usman,UAE,3,34,34,6,6,0,0
Nasir Jamshed,Pakisthan,1,18,18,6,6,0,0
AR Nurse,West Indies,8,13,13,6,6,0,0
Nurul Hasan,Bangladesh,1,9,9,6,2,4,2
NN Odhiambo,KENYA,6,24,24,6,6,0,0
HH Patel,West Indies,0,7,7,6,6,0,0
CW Perchard,JER,0,15,15,6,6,0,0
BBJL Perera,ITA,0,8,7,6,6,0,0
AL Phehlukwayo,South Africa,2,23,23,6,6,0,0
Rehman Abdul,ITA,0,7,6,6,6,0,0
S Samarawickrama,Sri Lanka,2,7,7,6,4,2,3
Shafraz Jaleel,Mald,0,4,4,6,4,2,4
HAM Shah,DEN,0,9,7,6,6,0,0
TAM Siriwardana,Sri Lanka,2,22,22,6,6,0,0
P Utseya,Zimbabwe,9,35,35,6,6,0,0
MN van Wyk,South Africa,8,8,8,6,5,1,3
JNT Vare,Papua New Guinea,2,8,8,6,4,2,4
S Vesawkar,NEPAL,5,17,17,6,6,0,0
Virandeep Singh,MAL,0,12,12,6,6,0,0
DF Watts,SCOT,5,11,10,6,6,0,0
Zeeshan Maqsood,OMAN,4,29,28,6,6,0,0
Aarif Sheikh,NEPAL,1,11,11,5,5,0,0
Adnan Ilyas,OMAN,1,12,11,5,5,0,0
KK Ahuja,Mex,0,8,8,5,2,3,1
CJA Amini,Papua New Guinea,4,23,23,5,5,0,0
Anwar Ali,Pakisthan,8,16,16,5,5,0,0
Ariful Haque,Bangladesh,0,9,9,5,5,0,0
SJ Baard,NAM,0,13,13,5,5,0,0
O Bascome,Bermuda,0,11,11,5,4,1,2
PKD Chase,Ireland,1,12,12,5,5,0,0
DT Christian,Australia,7,16,16,5,5,0,0
BCJ Cutting,Australia,4,7,7,5,5,0,0
MD Dai,Papua New Guinea,2,9,9,5,5,0,0
A Dananjaya,Sri Lanka,7,22,22,5,5,0,0
GJ Delany,Ireland,0,17,17,5,5,0,0
NS Dhaliwal,CAN,0,12,12,5,5,0,0
AC Douglas,Bermuda,0,10,10,5,5,0,0
FH Edwards,West Indies,5,20,20,5,5,0,0
Fahad Ali,"",0,3,3,5,4,1,2
Faisal Javed,QAT,0,15,15,5,5,0,0
LB Ferbrache,GUE,0,9,9,5,5,0,0
A Flintoff,England,2,7,7,5,5,0,0
DM Gondaria,KENYA,6,11,11,5,5,0,0
NA Greenwood,JER,0,8,8,5,5,0,0
DAS Gunaratne,Sri Lanka,1,12,12,5,5,0,0
S Hallett,Peru,0,4,4,5,4,1,4
Hilal Ahmad,CZK-R,0,7,7,5,5,0,5
BJ Hodge,Australia,7,15,15,5,5,0,0
Ibrahim Hassan,Mald,0,11,11,5,5,0,0
Jagjit Singh,Peru,0,4,4,5,5,0,0
KM Jarvis,Zimbabwe,8,22,22,5,5,0,0
MG Johnson,Australia,6,30,30,5,5,0,0
EC Joyce,England,8,18,17,5,5,0,0
Junaid Sheikh,NOR,0,5,5,5,5,0,0
D Kansonkho,West Indies,0,7,7,5,5,0,0
Karim Janat,Afganisthan,3,21,21,5,5,0,0
SP Khakurel,NEPAL,1,8,8,5,2,3,2
UT Khawaja,Australia,0,9,9,5,5,0,0
JP Kotze,NAM,0,12,12,5,5,0,0
HG Kuhn,South Africa,8,7,7,5,5,0,4
NR Kumar,CAN,7,18,18,5,5,0,0
AV Lalcheta,OMAN,4,17,16,5,5,0,0
JS Malhotra,South Africa,0,6,6,5,2,3,2
A Mansale,VAN,0,14,14,5,5,0,0
T Maruma,Zimbabwe,11,13,13,5,5,0,0
S Matsikenyeri,Zimbabwe,6,10,10,5,5,0,0
SS McKechnie,HKG,0,10,10,5,4,1,4
EJB Miles,JER,0,14,14,5,5,0,0
AF Milne,New Zealand,8,21,21,5,5,0,0
Mirwais Ashraf,Afganisthan,6,25,25,5,5,0,0
Mohammad Rizwan,Pakisthan,4,16,16,5,3,2,3
Mohammed Nadeem,QAT,0,15,15,5,5,0,0
M Morkel,South Africa,10,44,44,5,5,0,0
CB Mpofu,Zimbabwe,11,30,30,5,5,0,0
Muhammad Tanveer,QAT,0,15,15,5,5,0,0
S Muniandy,MAL,0,15,14,5,5,0,0
C Munoz-Mills,ESP,0,9,9,5,5,0,0
SJ Myburgh,NL,7,33,32,5,5,0,0
JDS Neesham,New Zealand,7,18,18,5,5,0,0
R Nehonde,Botsw,0,7,7,5,5,0,0
OE Newey,GUE,0,7,7,5,4,1,4
RJ Nicol,New Zealand,3,21,21,5,5,0,0
NM Odhiambo,KENYA,9,16,16,5,5,0,0
TM Odoyo,KENYA,6,11,11,5,5,0,0
CN Onwuzulike,NGA,0,9,9,5,5,0,0
R Panchal,ESP,0,9,9,5,5,0,0
WD Parnell,South Africa,8,40,40,5,5,0,0
AR Patel,India,3,11,11,5,5,0,0
MD Patel,South Africa,0,8,8,5,3,2,1
NK Patel,South Africa,0,4,4,5,5,0,0
Rahmanullah Gurbaz,Afganisthan,0,7,7,5,4,1,4
J Rasu,VAN,0,13,13,5,5,0,0
D Ravu,Papua New Guinea,0,17,17,5,5,0,0
JJ Roy,England,4,32,32,5,5,0,0
Sami Sohail,West Indies,0,7,7,5,5,0,0
Sandeep Goud,OMAN,0,12,12,5,5,0,0
E Schiferli,NL,2,7,6,5,5,0,0
Shafiq Sharif,MAL,0,10,9,5,2,3,2
KD Shah,HKG,5,26,26,5,5,0,0
OA Shah,England,2,17,17,5,5,0,0
Shapoor Zadran,Afganisthan,8,34,34,5,5,0,0
Sharjeel Khan,Pakisthan,3,15,15,5,5,0,0
RJ Sidebottom,England,3,18,18,5,5,0,0
LPC Silva,Sri Lanka,5,16,16,5,5,0,0
TB Sole,SCOT,0,9,9,5,5,0,0
GP Swann,England,4,39,39,5,5,0,0
SR Taylor,South Africa,0,8,8,5,5,0,0
SO Tikolo,KENYA,6,15,15,5,5,0,0
AJ Turner,Australia,2,11,11,5,5,0,0
C Viljoen,NAM,0,12,12,5,5,0,0
JM Vince,England,4,12,12,5,5,0,0
Wahab Riaz,Pakisthan,11,31,31,5,5,0,0
B Ward,JER,0,13,13,5,5,0,0
Washington Sundar,India,2,18,18,5,5,0,0
Abdul-Shakoor Rahimzei,GER,0,7,7,4,4,0,0
CN Ackermann,NL,0,11,11,4,4,0,0
Adnan Idrees,KUW,0,6,6,4,4,0,0
Aftab Ahmed,Bangladesh,4,11,11,4,4,0,0
FA Allen,West Indies,1,11,11,4,4,0,0
Amjad Javed,UAE,3,22,22,4,4,0,0
SE Aquilina,MALTA,0,4,4,4,0,4,0
Asad Mohammad,GER,0,9,9,4,4,0,0
MA Baig,West Indies,0,7,7,4,4,0,0
B Banerjee,Mex,0,6,6,4,4,0,3
T Banton,England,0,3,3,4,4,0,0
JP Behrendorff,Australia,2,7,6,4,4,0,0
IR Bell,England,8,8,8,4,4,0,0
TS Bharaj,DEN,0,9,7,4,4,0,0
Meet Bhavsar,KUW,0,9,9,4,4,0,4
MP Biddappa,PHI,0,4,4,4,3,1,3
Bilal Tahir,KUW,0,4,4,4,4,0,0
Bilal Zalmai,Aut,0,5,5,4,3,1,0
PRP Boissevain,NL,0,4,4,4,4,0,0
SE Bond,New Zealand,5,20,20,4,4,0,0
DM Bravo,West Indies,9,20,20,4,4,0,0
NT Broom,New Zealand,8,11,11,4,4,0,0
