DJ Willey,England,4,28,28,92.5,0,761,34,4/7,22.38,8.19,16.3,1,0
Amjad Javed,UAE,3,22,22,74.2,1,560,33,3/12,16.96,7.53,13.5,0,0
Karan KC,NEPAL,4,25,25,82.3,0,631,33,4/17,19.12,7.64,15.0,2,0
JE Taylor,West Indies,12,30,30,100.0,2,863,33,3/6,26.15,8.63,18.1,0,0
PJ Cummins,Australia,8,25,25,95.0,3,644,32,3/15,20.12,6.77,17.8,0,0
Hamid Hassan,Afganisthan,6,22,22,79.4,2,523,32,4/22,16.34,6.56,14.9,1,0
DT Johnston,Ireland,5,30,28,99.0,5,636,32,4/22,19.87,6.42,18.5,1,0
SC Williams,Zimbabwe,13,38,37,123.0,0,890,32,3/15,27.81,7.23,23.0,0,0
CR Brathwaite,West Indies,8,41,39,118.1,1,1013,31,3/20,32.67,8.57,22.8,0,0
Mahmudullah,Bangladesh,12,83,54,117.5,2,861,31,3/18,27.77,7.3,22.8,0,0
CB Mpofu,Zimbabwe,11,30,30,107.5,0,950,31,4/30,30.64,8.8,20.8,1,0
SS Cottrell,West Indies,5,22,22,76.0,2,615,30,4/28,20.5,8.09,15.2,1,0
MJ McClenaghan,New Zealand,6,29,29,101.2,2,789,30,3/17,26.3,7.78,20.2,0,0
Wahab Riaz,Pakisthan,11,31,30,101.3,2,813,30,3/18,27.1,8.0,20.3,0,0
Amir Hamza,Afganisthan,4,31,31,106.0,2,716,29,3/39,24.68,6.75,21.9,0,0
Khawar Ali,OMAN,4,29,27,82.0,0,534,29,4/16,18.41,6.51,16.9,1,0
AL Phehlukwayo,South Africa,2,23,22,69.5,0,550,29,4/24,18.96,7.87,14.4,1,0
R Rampaul,West Indies,8,23,23,82.5,1,705,29,3/16,24.31,8.51,17.1,0,0
BD Glover,NL,0,19,19,65.0,0,448,28,4/12,16.0,6.89,13.9,2,0
RM Haq,SCOT,6,21,20,75.0,1,472,28,3/20,16.85,6.29,16.0,0,0
KM Jarvis,Zimbabwe,8,22,22,74.4,0,665,28,3/15,23.75,8.9,16.0,0,0
S Lamichhane,ICC/NEPAL,1,18,18,64.0,0,439,28,4/20,15.67,6.85,13.7,1,0
B Lee,Australia,7,25,25,90.5,0,714,28,3/23,25.5,7.86,19.4,0,0
DP Nannes,Australia,1,17,16,61.0,2,459,28,4/18,16.39,7.52,13.0,1,0
IK Pathan,India,6,24,23,77.0,1,618,28,3/16,22.07,8.02,16.5,0,0
KA Pollard,West Indies,11,68,44,97.0,0,830,28,3/30,29.64,8.55,20.7,0,0
K Rabada,South Africa,5,21,21,77.2,0,648,28,3/30,23.14,8.37,16.5,0,0
Rubel Hossain,Bangladesh,9,27,26,94.3,0,879,28,3/31,31.39,9.3,20.2,0,0
Samiullah Shinwari,Afganisthan,9,62,38,105.4,0,688,28,5/13,24.57,6.51,22.6,1,1
Shoaib Malik,Pakisthan,13,111,46,90.0,0,644,28,2/7,23.0,7.15,19.2,0,0
SW Tait,Australia,9,21,21,79.4,2,589,28,3/13,21.03,7.39,17.0,0,0
Yuvraj Singh,India,10,58,31,70.4,0,499,28,3/17,17.82,7.06,15.1,0,0
A Zampa,Australia,3,27,26,93.0,1,572,28,3/14,20.42,6.15,19.9,0,0
MR Adair,Ireland,0,17,17,62.5,2,413,27,4/40,15.29,6.57,13.9,1,0
HS Baidwan,CAN,5,17,17,53.5,1,411,27,4/19,15.22,7.63,11.9,1,0
RD Berrington,SCOT,11,61,37,81.2,0,609,27,3/17,22.55,7.48,18.0,0,0
ST Finn,England,4,21,21,80.0,0,583,27,3/16,21.59,7.28,17.7,0,0
B Stanlake,Australia,2,19,19,70.0,2,544,27,4/8,20.14,7.77,15.5,1,0
KJ Abbott,South Africa,3,21,21,72.4,0,579,26,3/20,22.26,7.96,16.7,0,0
Iqbal Hussain,QAT,0,15,15,52.1,0,426,26,4/33,16.38,8.16,12.0,1,0
GJ Maxwell,Australia,7,61,40,94.0,0,704,26,3/10,27.07,7.48,21.6,0,0
JA Morkel,South Africa,10,50,46,107.5,2,864,26,3/12,33.23,8.01,24.8,0,0
Sompal Kami,NEPAL,5,28,28,90.0,1,644,26,3/23,24.76,7.15,20.7,0,0
MC Sorensen,Ireland,4,26,22,65.0,2,471,26,3/17,18.11,7.24,15.0,0,0
P Utseya,Zimbabwe,9,35,35,124.5,2,858,26,3/25,33.0,6.87,28.8,0,0
SE Bond,New Zealand,5,20,20,77.3,2,543,25,3/18,21.72,7.0,18.6,0,0
TL Chatara,Zimbabwe,9,21,21,75.0,1,591,25,3/20,23.64,7.88,18.0,0,0
Harbhajan Singh,India,10,28,27,102.0,5,633,25,4/12,25.32,6.2,24.4,1,0
AF Milne,New Zealand,8,21,21,72.5,1,541,25,4/37,21.64,7.42,17.4,1,0
Nadeem Ahmed,HKG,3,24,24,82.3,3,546,25,4/21,21.84,6.61,19.8,1,0
LE Plunkett,England,13,22,22,79.2,1,627,25,3/21,25.08,7.9,19.0,0,0
B Regmi,NEPAL,5,18,18,62.1,0,405,25,4/16,16.2,6.51,14.9,1,0
AD Russell,West Indies,7,47,40,99.1,0,908,25,2/10,36.32,9.15,23.8,0,0
SMSM Senanayake,Sri Lanka,4,24,23,81.0,0,549,25,4/46,21.96,6.77,19.4,1,0
DG Blampied,JER,0,17,17,61.4,1,395,24,4/20,16.45,6.4,15.4,1,0
TT Bresnan,England,8,34,34,110.3,1,887,24,3/10,36.95,8.02,27.6,0,0
JH Davey,SCOT,7,21,20,74.4,0,610,24,4/34,25.41,8.16,18.6,1,0
Faheem Ashraf,Pakisthan,2,27,26,74.3,1,557,24,3/5,23.2,7.47,18.6,0,0
Haseeb Amjad,HKG,2,18,18,61.2,3,453,24,4/16,18.87,7.38,15.3,1,0
Karim Janat,Afganisthan,3,21,21,73.0,0,614,24,5/11,25.58,8.41,18.2,0,1
N Nipiko,VAN,0,14,13,39.2,0,311,24,5/19,12.95,7.9,9.8,2,1
KMA Paul,West Indies,1,18,18,65.0,0,540,24,5/15,22.5,8.3,16.2,0,1
RJ Peterson,South Africa,8,21,19,59.5,1,451,24,3/28,18.79,7.53,14.9,0,0
D Ravu,Papua New Guinea,0,17,16,42.1,0,221,24,5/15,9.2,5.24,10.5,1,1
D Wiese,South Africa,3,20,20,65.2,0,497,24,5/23,20.7,7.6,16.3,0,1
IG Butler,New Zealand,4,19,18,59.4,1,481,23,3/19,20.91,8.06,15.5,0,0
CO Obuya,KENYA,12,35,18,52.2,0,334,23,4/27,14.52,6.38,13.6,1,0
RJ Sidebottom,England,3,18,18,61.1,0,437,23,3/16,19.0,7.14,15.9,0,0
I Udana,Sri Lanka,10,27,26,85.1,1,725,23,3/11,31.52,8.51,22.2,0,0
CA Young,Ireland,4,26,25,77.0,1,635,23,4/13,27.6,8.24,20.0,1,0
Aamir Kaleem,OMAN,4,25,20,54.0,0,388,22,5/15,17.63,7.18,14.7,2,1
A Dananjaya,Sri Lanka,7,22,22,79.4,1,620,22,3/36,28.18,7.78,21.7,0,0
Mohammad Nadeem,OMAN,4,22,22,68.0,0,445,22,4/23,20.22,6.54,18.5,1,0
MN Samuels,West Indies,11,67,30,79.5,0,622,22,3/23,28.27,7.79,21.7,0,0
BM Scholtz,NAM,0,14,14,53.0,0,285,22,4/12,12.95,5.37,14.4,1,0
AC Botha,Ireland,2,14,10,34.0,0,184,21,3/14,8.76,5.41,9.7,0,0
JP Duminy,South Africa,12,81,41,77.1,0,599,21,3/18,28.52,7.76,22.0,0,0
JN Frylinck,NAM,0,14,13,42.1,0,240,21,4/21,11.42,5.69,12.0,1,0
Mohammad Sami,Pakisthan,6,13,13,46.0,0,387,21,3/16,18.42,8.41,13.1,0,0
Abdul Razzaq,Pakisthan,7,32,22,56.3,2,395,20,3/13,19.75,6.99,16.9,0,0
Ahmed Raza,UAE,5,36,35,120.2,1,779,20,2/18,38.95,6.47,36.1,0,0
DAJ Bracewell,New Zealand,8,18,16,47.4,0,437,20,3/25,21.85,9.16,14.3,0,0
JEC Franklin,New Zealand,7,38,26,54.3,0,417,20,4/15,20.85,7.65,16.3,1,0
FJ Klaassen,NL,1,21,20,69.1,0,581,20,3/31,29.05,8.4,20.7,0,0
Mujeeb Ur Rahman,Afganisthan,1,16,16,60.0,0,324,20,4/15,16.2,5.4,18.0,1,0
T Panyangara,Zimbabwe,3,14,14,50.3,1,398,20,4/37,19.9,7.88,15.1,1,0
CW Perchard,JER,0,15,13,46.5,0,275,20,5/17,13.75,5.87,14.0,1,1
AM Phangiso,South Africa,6,16,16,57.0,0,443,20,3/25,22.15,7.77,17.1,0,0
A Vala,Papua New Guinea,4,26,16,44.5,1,249,20,3/7,12.45,5.55,13.4,0,0
C Viljoen,NAM,0,12,12,37.1,0,236,20,5/9,11.8,6.34,11.1,1,1
Zahoor Khan,UAE,2,18,18,59.3,0,442,20,2/17,22.1,7.42,17.8,0,0
CJA Amini,Papua New Guinea,4,23,21,63.1,0,367,19,2/13,19.31,5.81,19.9,0,0
Amjad Mahboob,SGP,0,11,11,37.4,1,317,19,3/20,16.68,8.41,11.8,0,0
NW Bracken,Australia,3,19,19,62.5,2,438,19,3/11,23.05,6.97,19.8,0,0
D Heyliger,CAN,0,11,11,42.0,0,306,19,4/16,16.1,7.28,13.2,2,0
DJ Hussey,Australia,4,39,25,60.1,1,392,19,3/25,20.63,6.51,19.0,0,0
ST Jayasuriya,Sri Lanka,5,31,24,61.5,0,456,19,3/21,24.0,7.37,19.5,0,0
JDP Oram,New Zealand,7,36,32,91.0,0,793,19,3/33,41.73,8.71,28.7,0,0
N Pokana,Papua New Guinea,3,19,18,56.5,2,328,19,3/21,17.26,5.77,17.9,0,0
Shoaib Akhtar,Pakisthan,4,15,15,53.0,3,432,19,3/38,22.73,8.15,16.7,0,0
Tanwir Afzal,HKG,2,21,21,71.0,2,509,19,2/8,26.78,7.16,22.4,0,0
JM Anderson,England,2,19,19,70.2,1,552,18,3/23,30.66,7.84,23.4,0,0
SJ Benn,West Indies,8,24,24,84.0,3,606,18,4/6,33.66,7.21,28.0,1,0
PW Borren,NL,9,43,30,87.4,0,603,18,2/19,33.5,6.87,29.2,0,0
Fareed Ahmad,Afganisthan,3,14,14,47.5,0,405,18,3/35,22.5,8.46,15.9,0,0
CRD Fernando,Sri Lanka,10,18,18,63.0,3,464,18,3/19,25.77,7.36,21.0,0,0
Hamza Tahir,SCOT,1,11,11,43.0,1,352,18,4/30,19.55,8.18,14.3,1,0
