MN Waller,Zimbabwe,7,32,31,8,613,68,26.65,443,138.37,0,1,2,42,28
Rohan Mustafa,UAE,5,38,37,1,605,77,16.8,521,116.12,0,2,4,71,17
JM Bairstow,England,8,34,29,6,603,68,26.21,450,134.0,0,3,2,56,25
Jatinder Singh,OMAN,4,25,25,2,599,68,26.04,535,111.96,0,3,1,63,6
Salman Butt,Pakisthan,3,24,23,2,595,74,28.33,551,107.98,0,3,1,66,10
RR Hendricks,South Africa,5,22,22,0,593,74,26.95,487,121.76,0,4,2,71,8
DJM Short,Australia,1,20,20,2,592,76,32.88,490,120.81,0,4,1,66,15
MK Pandey,India,4,32,27,12,587,79,39.13,478,122.8,0,2,2,40,16
DJG Sammy,West Indies,10,68,52,18,587,42,17.26,398,147.48,0,0,3,45,31
PD Collingwood,England,12,36,33,2,583,79,18.8,459,127.01,0,3,3,37,24
DR Smith,West Indies,9,33,32,0,582,72,18.18,474,122.78,0,3,1,62,31
SB Styris,New Zealand,5,31,29,2,578,66,21.4,483,119.66,0,1,0,40,25
SPD Smith,Australia,9,36,28,7,577,90,27.47,448,128.79,0,4,1,53,12
Nizakat Khan,HKG,5,34,32,0,576,62,18.0,478,120.5,0,2,4,51,19
JA Morkel,South Africa,10,50,38,11,572,43,21.18,402,142.28,0,0,1,29,39
MJ Lumb,England,4,27,27,1,552,63,21.23,413,133.65,0,3,1,64,21
Zeeshan Maqsood,OMAN,4,29,25,4,542,56,25.8,481,112.68,0,2,2,66,12
Babar Hayat,HKG,3,24,24,4,541,122,27.05,433,124.94,1,2,2,45,20
Karim Sadiq,Afganisthan,8,36,36,0,538,72,14.94,493,109.12,0,1,4,61,10
RN ten Doeschate,NL,11,22,22,10,533,59,44.41,400,133.25,0,3,1,27,19
C Kieswetter,England,2,25,25,1,526,63,21.91,470,111.91,0,3,2,47,23
RR Patel,KENYA,11,30,26,4,526,55,23.9,414,127.05,0,3,1,31,31
Hazratullah Zazai,Afganisthan,3,13,13,1,519,162,43.25,319,162.69,1,2,1,46,37
F Behardien,South Africa,6,38,30,14,518,64,32.37,404,128.21,0,1,1,37,16
V Sibanda,Zimbabwe,9,26,26,1,511,59,20.44,503,101.59,0,1,3,52,11
Noor Ali Zadran,Afganisthan,7,20,20,1,506,63,26.63,497,101.81,0,3,1,45,6
Nawroz Mangal,Afganisthan,7,32,32,4,505,65,18.03,453,111.47,0,2,4,42,19
Imran Nazir,Pakisthan,5,25,24,1,500,72,21.73,370,135.13,0,3,2,59,22
Liton Das,Bangladesh,4,25,25,0,497,61,19.88,360,138.05,0,2,2,44,22
Shafiqullah,Afganisthan,9,46,42,12,494,51,16.46,340,145.29,0,1,5,35,31
MJ Clarke,Australia,5,34,28,5,488,67,21.21,473,103.17,0,1,2,29,10
CJ Anderson,New Zealand,6,31,24,4,485,94,24.25,351,138.17,0,2,3,30,26
G Malla,NEPAL,5,24,23,0,482,107,20.95,389,123.9,1,1,1,46,21
C de Grandhomme,New Zealand,7,33,31,7,479,59,19.95,321,149.22,0,3,3,27,29
TP Visee,NL,4,27,27,0,478,78,17.7,316,151.26,0,3,4,65,17
MS Chapman,New Zealand,4,24,23,2,475,63,22.61,416,114.18,0,1,0,38,13
JDP Oram,New Zealand,7,36,30,7,474,66,20.6,339,139.82,0,2,3,38,22
GJ Bailey,Australia,5,30,26,7,473,63,24.89,346,136.7,0,2,1,37,20
BKG Mendis,Sri Lanka,3,24,24,0,473,79,19.7,353,133.99,0,5,2,40,21
